iter	Passed	Remaining
793	4443	1152
794	4448	1147
795	4452	1141
796	4457	1135
797	4461	1129
798	4466	1123
799	4470	1117
800	4474	1111
801	4478	1105
802	4482	1099
803	4487	1093
804	4491	1087
805	4495	1082
806	4499	1076
807	4503	1070
808	4507	1064
809	4512	1058
810	4516	1052
811	4522	1047
812	4527	1041
813	4532	1035
814	4536	1029
815	4540	1023
816	4544	1017
817	4549	1012
818	4553	1006
819	4557	1000
820	4562	994
821	4568	989
822	4573	983
823	4579	978
824	4585	972
825	4591	967
826	4596	961
827	4601	955
828	4607	950
829	4613	944
830	4618	939
831	4623	933
832	4627	927
833	4632	922
834	4637	916
835	4642	910
836	4649	905
837	4654	899
838	4659	894
839	4667	888
840	4672	883
841	4677	877
842	4683	872
843	4687	866
844	4692	860
845	4697	855
846	4703	849
847	4708	844
848	4715	838
849	4720	833
850	4724	827
851	4730	821
852	4734	815
853	4739	810
854	4743	804
855	4747	798
856	4751	792
857	4755	787
858	4759	781
859	4764	775
860	4768	769
861	4772	764
862	4776	758
863	4780	752
864	4784	746
865	4788	740
866	4792	735
867	4796	729
868	4800	723
869	4805	717
870	4809	712
871	4813	706
872	4817	700
873	4821	695
874	4825	689
875	4829	683
876	4833	677
877	4837	672
878	4841	666
879	4845	660
880	4849	655
881	4853	649
882	4857	643
883	4861	637
884	4866	632
885	4870	626
886	4874	621
887	4878	615
888	4883	609
889	4887	604
890	4891	598
891	4895	592
892	4899	587
893	4904	581
894	4908	575
895	4912	570
896	4916	564
897	4921	559
898	4927	553
899	4934	548
900	4939	542
901	4945	537
902	4950	531
903	4955	526
904	4961	520
905	4967	515
906	4972	509
907	4977	504
908	4983	498
909	4988	493
910	4994	487
911	4998	482
912	5002	476
913	5008	471
914	5013	465
915	5018	460
916	5024	454
917	5031	449
918	5037	444
919	5043	438
920	5048	433
921	5054	427
922	5059	422
923	5065	416
924	5070	411
925	5076	405
926	5081	400
927	5086	394
928	5091	389
929	5095	383
930	5099	377
931	5103	372
932	5107	366
933	5111	361
934	5115	355
935	5119	350
936	5124	344
937	5128	338
938	5132	333
939	5136	327
940	5140	322
941	5145	316
942	5149	311
943	5153	305
944	5157	300
945	5161	294
946	5165	289
947	5169	283
948	5173	278
949	5177	272
950	5181	266
951	5185	261
952	5189	255
953	5194	250
954	5198	244
955	5201	239
956	5205	233
957	5209	228
958	5213	222
959	5218	217
960	5222	211
961	5226	206
962	5230	200
963	5234	195
964	5238	189
965	5242	184
966	5246	179
967	5250	173
968	5254	168
969	5258	162
970	5264	157
971	5268	151
972	5272	146
973	5277	140
974	5283	135
975	5289	130
976	5295	124
977	5301	119
978	5306	113
979	5311	108
980	5317	102
981	5323	97
982	5328	92
983	5333	86
984	5339	81
985	5346	75
986	5352	70
987	5356	65
988	5361	59
989	5368	54
990	5373	48
991	5380	43
992	5386	37
993	5390	32
994	5397	27
995	5403	21
996	5407	16
997	5413	10
998	5419	5
999	5426	0
